id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl,name_tran,time_tran,creator_tran,level_tran,placeOfOrigin_tran,museum_tran,type_tran,size_tran,material_tran,description_tran
93,Chinese Porcelain,null,null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Poster for a publication 'Chinese porcelain collections in the near east Topkapi and Ardebil', by T. Misugi.",https://www.aucklandmuseum.com/discover/collections/record/974765?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/462805/231a52aa28730df6f9591e0ea6c2e06504be73f9.jpg,中国瓷器,无,无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,T.Misugi出版的“托普卡皮和阿代比尔近东的中国瓷器收藏”海报。
103,Chinese Porcelain,null,null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Poster for a publication 'Chinese porcelain collections in the near east Topkapi and Ardebil', by T. Misugi.",https://www.aucklandmuseum.com/discover/collections/record/974765?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/462805/231a52aa28730df6f9591e0ea6c2e06504be73f9.jpg,中国瓷器,无,无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,T.Misugi出版的“托普卡皮和阿代比尔近东的中国瓷器收藏”海报。
109,[Portrait of Chinese man],null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,Pencil drawing of a Chinese man.,https://www.aucklandmuseum.com/discover/collections/record/1015160?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476197/58823ed8340a0fa1173a8e2f727b14f809f3080f.jpg,[中国男人的肖像],无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一个中国男人的铅笔画。
124,"counters, gambling",null,null,null,null,Auckland Museum,null,10mm; ,ceramic/inorganic material/AAT Materials,"97 ceramic gambling counters from Chinese gambling house, Greys Avenue, Auckland 1949, possibly for use in fan-tan; all counters similar in appearance; light green-grey glaze",https://www.aucklandmuseum.com/discover/collections/record/650047?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/434250/fa178aa5f6f60b9751ffd1da57756618977d2786.jpg,柜台，赌博,无,无,无,无,奥克兰博物馆,无,10mm；,陶瓷/无机材料/AAT材料,97个陶瓷赌博柜台，来自1949年奥克兰格雷斯大道中国赌场，可能用于球迷席；所有计数器外观相似；浅绿灰釉
135,Chinese Gambler Bankok [sic],null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,Black and white portrait of an older Chinese man seated on a wooden bench. His arm is resting on a triangular shaped cushion.,https://www.aucklandmuseum.com/discover/collections/record/1014990?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/475946/a1dbc14607e3e1b3d04c8ee53c5c04fe3ae8047a.jpg,中国赌徒银行,无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一位年长的中国男子坐在木凳上的黑白肖像。他的胳膊搁在一个三角形的垫子上。
139,Reading the Chinese Classics,null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,Portrait of an older Chinese man wearing spectacles and holding a book.,https://www.aucklandmuseum.com/discover/collections/record/1015114?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476125/d35028879f1b5d9a726a6320c60a9acd5fcb10c7.jpg,阅读中国经典,无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一位戴着眼镜、手里拿着一本书的中国老人的肖像。
140,[Drawing of a Chinese man],null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,Watercolour and pencil portrait of a seated Chinese man wearing a blue coat with his hair worn in a queue.,https://www.aucklandmuseum.com/discover/collections/record/1015250?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476318/c258874f1a90207e0b53c01a6ca7be1e2ee543e4.jpg,[中国人的绘画],无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一个坐着的中国男人的水彩和铅笔肖像，穿着蓝色外套，头发梳成一排。
173,Chinese Ivory Carvers,null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Photograph of two Chinese men. The man on the left is seated, carving an elephant tusk.",https://www.aucklandmuseum.com/discover/collections/record/1015131?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476154/9ec3203e0b8824ea8f6ac7460b6580d1aab513a3.jpg,中国象牙雕刻师,无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,两名中国男子的照片。左边的人坐着，正在雕刻一根象牙。
174,Opening of Chinese Club. January 1955,1955,null,Single Item,null,Auckland Museum,null,null,cellulose diacetate/cellulose acetate/cellulosic/thermoplastic/plastic/organic material/AAT Materials,A group portrait inside the Chinese Club at its opening. The men are all dressed in suits.,https://www.aucklandmuseum.com/discover/collections/record/1128135?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/585526/a0bbe4b7317b862aa2774593c9e93c8b43c5bbbc.jpg,中国俱乐部开幕。1955年1月,1955,无,单个项目,无,奥克兰博物馆,无,无,二乙酸纤维素/乙酸纤维素/纤维素/热塑性塑料/有机材料/AAT材料,中国俱乐部开幕式上的合影。男人们都穿着西装。
175,Opening of Chinese Club. [Hobson St.] January 1955,1955,null,Single Item,null,Auckland Museum,null,null,cellulose diacetate/cellulose acetate/cellulosic/thermoplastic/plastic/organic material/AAT Materials,Two men at the opening of the Chinese Club in Hobson Street.,https://www.aucklandmuseum.com/discover/collections/record/1128136?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/585527/c3ba83c89982c13b35dc1743d6921e87686aaff2.jpg,中国俱乐部开幕。【霍布森街】1955年1月,1955,无,单个项目,无,奥克兰博物馆,无,无,二乙酸纤维素/乙酸纤维素/纤维素/热塑性塑料/有机材料/AAT材料,两名男子在霍布森街的中国俱乐部开幕式上。
187,Chinese literature in a Western Cultural Environment,Circa 1977,null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Poster for a lecture at the Auckland War Memorial Museum ""Chinese literature in a Western Cultural Environment"", by Professor D. Lancashire. September 30, [1977].",https://www.aucklandmuseum.com/discover/collections/record/984529?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/467151/62c5ad5b608d6e3aa7a8af84ac4bab764540dc2b.jpg,西方文化环境下的中国文学,Circa 1977,无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,D.兰开夏教授在奥克兰战争纪念博物馆“西方文化环境中的中国文学”讲座海报。1977年9月30日。
206,Chinese on River Boat Oct 14th 69,null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,Watercolour and pencil drawing of three Chinese men seated on wooden deck. The man on the far left Is wearing a white shirt and has his hair in a queue (hairstyle). The other mean are wearing blue coats.,https://www.aucklandmuseum.com/discover/collections/record/1015251?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476322/7ae80c2cbf345efdfdbfb6d985df2cf68d35808a.jpg,10月14日游船上的中国人69,无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,三名中国男子坐在木制甲板上的水彩和铅笔画。最左边的那个男人穿着白色衬衫，头发排成一排（发型）。另一个吝啬鬼穿着蓝色外套。
233,"Chinese restaurant, Bombay",Circa 1943,null,Grandchild,null,Auckland Museum,null,null,cellulose nitrate film/film (material by form)/materials by form/materials (substance)/Materials (hierarchy name),"Photograph depicting two shops, ""Seaview Chinese Restaurant"" and ""Apollo Photo Studio"" on a street in Mumbai. A group of people are seated at a table at the front of the restaurant.",https://www.aucklandmuseum.com/discover/collections/record/1015472?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476367/fed8284ddb4b93aed8ea930af0fd73a353959b27.jpg,中餐馆，孟买,1943年左右,无,孙子,无,奥克兰博物馆,无,无,硝酸纤维素膜/膜（按形式材料）/按形式材料/材料（物质）/材料（层次名称）,照片描绘了孟买一条街上的两家商店，“海景中餐馆”和“阿波罗照相馆”。一群人坐在餐馆前面的一张桌子旁。
239,300 years of Chinese paintings,1975,null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Poster for an exhibition at the Auckland War Memorial Museum, ""300 years of Chinese paintings. From the collection of Mr. & Mrs. Nicolas Harris",https://www.aucklandmuseum.com/discover/collections/record/987428?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/467309/18b4a89ebee69bacd40b77a3fc068b837d3c241d.jpg,300年的中国画,1975,无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,奥克兰战争纪念博物馆展览海报，“300年的中国画。来自尼古拉斯·哈里斯夫妇的收藏”
240,300 years of Chinese paintings,1975,null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Poster for an exhibition at the Auckland War Memorial Museum, ""300 years of Chinese paintings. From the collection of Mr. & Mrs. Nicolas Harris",https://www.aucklandmuseum.com/discover/collections/record/975823?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/463668/1a1bd4d746d1d977fcc65c76e097215dce7ecc0a.jpg,300年的中国画,1975,无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,奥克兰战争纪念博物馆展览海报，“300年的中国画。来自尼古拉斯·哈里斯夫妇的收藏”
241,Chinese Landscape Photographs,1984,null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Poster from the Auckland War Memorial Museum for an exhibition ""Chinese Landscape Photographs from the People's Republic of China"". October 27 - November 15, 1984. Funded by the governments of New Zealand and China.",https://www.aucklandmuseum.com/discover/collections/record/987394?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/467277/8484874d5a86f02adb41694024e3a818c9936906.jpg,中国风景照片,1984,无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,奥克兰战争纪念博物馆“中华人民共和国的中国风景照片”展览海报。1984年10月27日至11月15日。由新西兰和中国政府资助。
271,"scales, balance",Pre 1880,null,null,null,Auckland Museum,null,270mm; ,null,balance scales as used by Chinese gold buyers in early New Zealand.; Given to donor by a Miss Hilliard whose father befriended a Chinese gold buyer who gave him the scales c1880-90.,https://www.aucklandmuseum.com/discover/collections/record/67225?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/442622/033d6336d95b6bcc0571efbda5036f1bef5b32bb.jpg,天平，平衡,1880年以前,无,无,无,奥克兰博物馆,无,270毫米；,无,新西兰早期中国黄金买家使用的天平。；希利亚德小姐送给捐赠者，她的父亲与一位中国黄金买家交上了朋友，后者于1880-90年将天平送给了他。
272,Chinese lady,null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Black and white, full length, studio portrait, of a Chinese woman. The woman is captured in side profile. There is a small table in front of her. Floral decorative wallpaper in the background.",https://www.aucklandmuseum.com/discover/collections/record/1015125?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476145/99130fad05e9936860ba19c0c098e3c9b1c31db7.jpg,中国女士,无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一位中国妇女的黑白全幅摄影棚肖像。这名女子被拍到侧面。她面前有一张小桌子。背景为花卉装饰壁纸。
287,"scales, balance",Pre 1880,null,null,null,Auckland Museum,null,270mm; ,null,balance scales as used by Chinese gold buyers in early New Zealand.; Given to donor by a Miss Hilliard whose father befriended a Chinese gold buyer who gave him the scales c1880-90.,https://www.aucklandmuseum.com/discover/collections/record/67225?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/442622/033d6336d95b6bcc0571efbda5036f1bef5b32bb.jpg,天平，平衡,1880年以前,无,无,无,奥克兰博物馆,无,270毫米；,无,新西兰早期中国黄金买家使用的天平。；希利亚德小姐送给捐赠者，她的父亲与一位中国黄金买家交上了朋友，后者于1880-90年将天平送给了他。
290,"[Chang Woo Gow, the Chinese giant with his wife]",1870s,null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,Carte de visite studio photograph of tall Chinese man and his wife seated and unidentified European figure standing.,https://www.aucklandmuseum.com/discover/collections/record/1066143?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/539368/c979399f50186577554eb70106e837ab520ae696.jpg,[中国巨人张和他的妻子],19世纪70年代,无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,Carte de visite摄影棚的照片中，一名高大的中国男子和他的妻子坐着，一个身份不明的欧洲人站着。
302,Chinese Carts,null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,Black and white photograph of a horse and cart with a man standing next to the horse.,https://www.aucklandmuseum.com/discover/collections/record/1015147?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476180/a6fb14c2a6420cfa2d22e24da422dd599dda2322.jpg,中国卡特尔,无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一匹马和马车的黑白照片，旁边站着一个人。
321,handbill,1950s,null,null,null,Auckland Museum,null,null,null,"Chinese handbill : UN R6052 : NZDF : 33391 Major John Mason Spiers; double-sided newsprint, in Chinese; on one side, red ink, Chinese characters with (To) The Soldiers of Communist China; reverse side, green ink & two photos each showing Thai soldier with ordinary people",https://www.aucklandmuseum.com/discover/collections/record/774223?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/58180/ae6ed8d3ce47342e3edccfb58c07267236735fb8.jpg,传单,20世纪50年代,无,无,无,奥克兰博物馆,无,无,无,中国传单：联合国R6052:NZDF:33391约翰·梅森·斯皮尔斯少校；双面新闻纸，中文；一面是红墨水，上面写着（致）共产主义中国的战士；反面，绿色墨水&两张泰国士兵与普通人的合影
346,[Two unidentified Chinese men],null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,null,https://www.aucklandmuseum.com/discover/collections/record/1014973?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/475922/8ee90299b178cf759f378fdf0c6eb102c0b9e9da.jpg,【两名身份不明的中国男子】,无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,无
347,[Unidentified Chinese man],null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,null,https://www.aucklandmuseum.com/discover/collections/record/1014975?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/475925/e6a78212551cc80eaf78c972605da04d99dff696.jpg,[身份不明的中国男子],无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,无
362,ornament,Pre 1950,null,null,null,Auckland Museum,null,139mm; ,cloth/AAT Materials; coral/AAT Materials,Head ornament; Made with silk over board. Depicts five images of Buddha. two ties with Chinese script on attached.,https://www.aucklandmuseum.com/discover/collections/record/74607?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/248428/fcdabc90304fb3024b2ed04715b17f89321ca95e.jpg,装饰品,1950年以前,无,无,无,奥克兰博物馆,无,139毫米；,布料/AAT材料；珊瑚/AAT材料,头饰；用丝绸做的。描绘了五个佛像。附两条带中文字样的领带。
367,Chinese play.,10-Oct-55,null,Single Item,null,Auckland Museum,null,null,polyester/plastic/organic material/AAT Materials,Performers and musicians on stage.,https://www.aucklandmuseum.com/discover/collections/record/1129241?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/586637/77782c8ef770a1b30328ddcc8f923f2cd70c88bb.jpg,中国戏。,20372,无,单个项目,无,奥克兰博物馆,无,无,聚酯/塑料/有机材料/AAT材料,舞台上的表演者和音乐家。
368,Chinese play.,10-Oct-55,null,Single Item,null,Auckland Museum,null,null,polyester/plastic/organic material/AAT Materials,Performers and musicians on stage.,https://www.aucklandmuseum.com/discover/collections/record/1129240?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/586636/804a21f2473e5bfa2b6c674e32644e97787448af.jpg,中国戏。,20372,无,单个项目,无,奥克兰博物馆,无,无,聚酯/塑料/有机材料/AAT材料,舞台上的表演者和音乐家。
369,Chinese play,10-Oct-55,null,Single Item,null,Auckland Museum,null,null,polyester/plastic/organic material/AAT Materials,Performers and musicians on stage.,https://www.aucklandmuseum.com/discover/collections/record/1129242?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/586640/24e251143d178fd7beda98e0314091448f4e2544.jpg,中国戏剧,20372,无,单个项目,无,奥克兰博物馆,无,无,聚酯/塑料/有机材料/AAT材料,舞台上的表演者和音乐家。
370,Chinese play.,10-Oct-55,null,Single Item,null,Auckland Museum,null,null,polyester/plastic/organic material/AAT Materials,Performers and musicians on stage,https://www.aucklandmuseum.com/discover/collections/record/1129239?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/586632/ea13a7f249d086836705bdcde4c0afea7df7adb3.jpg,中国戏。,20372,无,单个项目,无,奥克兰博物馆,无,无,聚酯/塑料/有机材料/AAT材料,舞台上的表演者和音乐家
371,[Chinese man in workshop],null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Black and white photograph of a man in a workshop, possibly making paper or at a printing press.",https://www.aucklandmuseum.com/discover/collections/record/1015171?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476207/6df20e964b95d6ad39da9eea7db776da79750096.jpg,[车间里的中国人],无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一个人在车间里的黑白照片，可能是在造纸或印刷机上。
380,[Chinese man in workshop],null,null,Child,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials,"Black and white photograph of a man in a workshop, possibly making paper or at a printing press.",https://www.aucklandmuseum.com/discover/collections/record/1015171?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/476207/6df20e964b95d6ad39da9eea7db776da79750096.jpg,[车间里的中国人],无,无,小孩,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料,一个人在车间里的黑白照片，可能是在造纸或印刷机上。
